NUM,NAME,GWP
71,"""R-415A¡AHCFC-22/HFC-152a (82.0/18.0)""","1,468"
72,"""R-415B¡AHCFC-22/HFC-152a (25.0/75.0)""",544
73,"""R-416A¡AHFC-134a/HCFC-124/HC-600 (59.0/39.5/1.5)""",975
74,"""R-417A¡AHFC-125/HFC-134a/HC-600 (46.6/50.0/3.4)""","2,127"
75,"""R-418A¡AHC-290/HCFC-22/HFC-152a (1.5/96.0/2.5)""","1,693"
76,"""R-419A¡AHFC-125/HFC-134a/HE-E170 (77.0/19.0/4.0)""","2,688"
77,"""R-420A¡AHFC-134a/HCFC-142b (88.0/12.0)""","1,382"
78,"""R-421A¡AHFC-125/HFC-134a (58.0/42.0)""","2,385"
79,"""R-421B¡AHFC-125/HFC-134a (85.0/15.0)""","2,890"
80,"""R-422A¡AHFC-125/HFC-134a/HC-600a (85.1/11.5/3.4)""","2,847"
81,"""R-422B¡AHFC-125/HFC-134a/HC-600a (55.0/42.0/3.0)""","2,290"
82,"""R-422C¡AHFC-125/HFC-134a/HC-600a (82.0/15.0/3.0)""","2,794"
83,"""R-500¡ACFC-12/HFC-152a (73.8/26.2)""","7,564"
84,"""R-501¡AHCFC-22/CFC-12 (75.0/25.0)""","3,870"
85,"""R-502¡AHCFC-22/CFC-115 (48.8/51.2)""","4,786"
86,"""R-503¡AHFC-23/CFC-13 (40.1/59.9)""","13,299"
87,"""R-504¡AHFC-32/CFC-115 (48.2/51.8)""","4,299"
88,"""R-505¡ACFC-12/HCFC-31 (78.0/22.0)""","7,956"
89,"""R-506¡ACFC-31/CFC-114 (55.1/44.9)""","3,857"
90,"""R-507A¡AHFC-125/HFC-143a (50.0/50.0)""","3,985"
91,"""R-508A¡AHFC-23/PFC-116 (39.0/61.0)""","11,607"
92,"""R-508B¡AHFC-23/PFC-116 (46.0/54.0)""","11,698"
93,"""R-509A¡AHCFC-22/PFC-218 (44.0/56.0)""","5,758"
